"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"000","الفاتح","الفاتح","0","1","0","","","","BKA"
"001","رقم الضبط","رقم الضبط","0","0","0","","","","BKA"
"003","محدد رقم الضبط","محدد رقم الضبط","0","1","0","","","","BKA"
"005","وقت وتاريخ اخر تعامل مع التسجيلة","وقت وتاريخ اخر تعامل مع التسجيلة","0","1","0","","","","BKA"
"006","عناصر البيانات ثابتة الطول - خصائص المادة الاضافية-معلومات عامة","عناصر البيانات ثابتة الطول - خصائص المادة الاضافية-معلومات عامة","1","0","0","","","","BKA"
"007","الحقل الثابت للوصف المادى- معلومات عامة","الحقل الثابت للوصف المادى- معلومات عامة","1","0","0","","","","BKA"
"008","عناصر البيانات ثابتة الطول - معلومات عامة","عناصر البيانات ثابتة الطول - معلومات عامة","0","1","0","","","","BKA"
"009","الحقل الثابت للوصف المادى للمجوعات الارشيفية [مهمل]","الحقل الثابت للوصف المادى للمجوعات الارشيفية [مهمل]","1","0","0","","","","BKA"
"010","رقم ضبط مكتبة الكونجرس","رقم ضبط مكتبة الكونجرس","0","0","0","","","","BKA"
"011","رابط رقم ضبط مكتبة الكونجرس -[مهمل]","رابط رقم ضبط مكتبة الكونجرس -[مهمل]","0","0","0","","","","BKA"
"013","معلومات ضبط براءات الاختراع","معلومات ضبط براءات الاختراع","1","0","0","","","","BKA"
"015","رقم الببليوجرافية الوطنية","رقم الببليوجرافية الوطنية","1","0","0","","","","BKA"
"016","رقم ضبط الوكاله الوطنية للضبط الببليوجرافي ","رقم ضبط الوكاله الوطنية للضبط الببليوجرافي ","1","0","0","","","","BKA"
"017","حق النشر او رقم الايداع القانونى","حق النشر او رقم الايداع القانونى","1","0","0","","","","BKA"
"018","رمز رسوم حقوق نشر المقال","رمز رسوم حقوق نشر المقال","0","0","0","","","","BKA"
"01e","خطأ الحقل (RLIN)","خطأ الحقل (RLIN)","1","0","0","","","","BKA"
"020","الرقم الدولى المعيارى (ردمك)","الرقم الدولى المعيارى (ردمك)","0","0","0","","","","BKA"
"022","الرقم الدولى المعيارى للدوريات","الرقم الدولى المعيارى للدوريات","1","0","0","","","","BKA"
"023","الرقم المعيارى للافلام-مهمل","الرقم المعيارى للافلام-مهمل","1","0","0","","","","BKA"
"024","رقم إيداع محلي","رقم إيداع محلي","0","0","0","","","","BKA"
"025","رقم التزويد الخارجى","رقم التزويد الخارجى","1","0","0","","","","BKA"
"026","محدد البصمات","محدد البصمات","1","0","0","","","","BKA"
"027","الرقم المعيارى للتقرير الفنى","الرقم المعيارى للتقرير الفنى","1","0","0","","","","BKA"
"028","رقم الناشر","رقم الناشر","1","0","0","","","","BKA"
"029","رقم ضبط نظم اخرى(OCLC)"," (OCLC)","1","0","0","","","","BKA"
"030","التحديد الرمزي","التحديد الرمزي","1","0","0","","","","BKA"
"031","معلومات النوتة الصوتىة","معلومات النوتة الصوتىة","1","0","0","","","","BKA"
"032","رقم التسجيل البريدى","رقم التسجيل البريدى","1","0","0","","","","BKA"
"033","تاريخ/وقت ومكان الحدث","تاريخ/وقت ومكان الحدث","1","0","0","","","","BKA"
"034","البيانات الخرائطية الرياضية المرمزة","البيانات الخرائطية الرياضية المرمزة","1","0","0","","","","BKA"
"035","رقم ضبط النظام","رقم ضبط النظام","1","0","0","","","","BKA"
"036","رقم الدراسة الاصلية لملفات بيانات الحاسب","رقم الدراسة الاصلية لملفات بيانات الحاسب","0","0","0","","","","BKA"
"037","مصدر التزويد","مصدر التزويد","1","0","0","","","","BKA"
